epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9042,2.10418,4.76186,1.29385,0.00011,0.00258,8e-05,2e-05,3.31026,4.60506,1.39093,0.09502,2e-05,2e-05
2,86.3097,2.14912,4.25535,1.1791,7e-05,0.00156,4e-05,1e-05,3.26173,4.35259,1.43451,0.0890437,4.37278e-05,4.37278e-05
3,126.86,2.14424,3.9541,1.15441,7e-05,0.00156,4e-05,1e-05,3.14831,4.16139,1.39232,0.0830672,6.71585e-05,6.71585e-05
4,174.451,2.18608,3.7046,1.14221,0.00011,0.00163,6e-05,1e-05,2.96099,4.02782,1.34014,0.0770903,9.02922e-05,9.02922e-05
5,220.8,2.09835,3.52391,1.13711,0.00035,0.00496,0.00039,0.00014,2.62983,3.87946,1.26593,0.0711131,0.000113129,0.000113129
6,269.557,2.14209,3.35087,1.13994,0.00049,0.00496,0.0008,0.00031,2.44454,3.75641,1.25913,0.0651357,0.000135669,0.000135669
7,318.568,1.96694,3.16583,1.10469,0.02063,0.00745,0.01164,0.00732,2.30188,3.62368,1.24552,0.0591579,0.000157912,0.000157912
8,366.974,2.06626,3.09735,1.11415,0.05877,0.0085,0.0105,0.00688,2.24841,3.55163,1.23643,0.0531799,0.000179857,0.000179857
9,416.088,2.0946,2.99887,1.10053,0.06032,0.00953,0.01163,0.00751,2.20796,3.46452,1.21629,0.0472015,0.000201506,0.000201506
10,462.97,2.05789,2.94534,1.10688,0.02425,0.01008,0.01432,0.00873,2.14174,3.22567,1.15276,0.0412229,0.000222858,0.000222858
11,513.777,2.00794,2.91365,1.093,0.01946,0.0185,0.01554,0.00945,2.10798,3.11347,1.129,0.0352439,0.000243912,0.000243912
12,562.514,2.0548,2.84708,1.09674,0.02264,0.01899,0.01625,0.01031,2.05556,3.01405,1.10852,0.0292647,0.00026467,0.00026467
13,610.76,1.9128,2.73122,1.08793,0.05717,0.01947,0.03226,0.02382,2.00034,2.93415,1.09535,0.0232851,0.000285131,0.000285131
14,660.031,1.99483,2.83028,1.09077,0.05009,0.02066,0.02948,0.02114,1.95083,2.86887,1.08685,0.0173053,0.000305295,0.000305295
15,707.859,2.01991,2.77646,1.09657,0.05009,0.02066,0.02948,0.02114,1.95083,2.86887,1.08685,0.0113252,0.000325162,0.000325162
16,757.735,2.0294,2.78635,1.09757,0.04206,0.02114,0.02613,0.01811,1.91602,2.81394,1.07599,0.00534473,0.000344731,0.000344731
17,807.384,2.00408,2.75141,1.09009,0.12014,0.02277,0.02607,0.01764,1.90087,2.7615,1.0682,0.0003604,0.0003604,0.0003604
